strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,deflated_sharpe_probability,target_gate,selection_score,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns
sector_low_ulcer_positive_trend,Sector allocation,sector_ulcer,long_rule,Monthly four lowest 252d-Ulcer sectors with positive return and 200d trend; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1019239704455556,0.0994952852148929,0.1249427187792114,0.6761822233013124,-0.163746592025946,0.0648164659176996,0.622449415187863,-0.0197629939397545,-0.1048933252467591,0.4179358218880411,0.1947605534031862,4.411431073098002,0.0445514127654698,0.141876615368421,-0.0341590307987393,0.4913964262078094,0.0161596452658752,0.6600476568705321,"{""XLF"": 0.24340753298020237, ""XLK"": 0.2437796770085743, ""XLP"": 0.2584768131787582, ""XLV"": 0.254335976832465}",-0.1208991395970058,-0.159621184008506,-0.0826328749378271,-0.1338822440890327,-0.1281275260629266,-0.1310771477165035,-0.122754164691173,-0.1238046967973174,0.8651534035871128,True,0.3979158925943292,573,352,352,31.0,0.3684210526315789,19,0
QQQ_vol_target_12,Equity P&L control,pnl_vol,long_rule,Weekly unlevered QQQ 63d volatility target 12%; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1136297147147527,0.1121266309783304,0.1290330020441577,0.7347162942356299,-0.2171869836213343,0.0636400606008503,0.5231884195825758,-0.0201278522828432,-0.1554118894246412,0.3272592183797662,0.1544131838868382,2.70112321239532,0.0705457213801616,0.1432848783280462,0.0176607845421157,0.6965585704831238,0.0436472838060602,0.7525814138204925,"{""QQQ"": 0.6221740163187963, ""SHY"": 0.3778259836812038}",-0.1996699791880894,-0.2171869836213341,-0.0796846325178246,-0.1072950903696694,-0.1415102686849343,-0.142967836091012,-0.1831456468092427,-0.1940856862688902,0.9073852548840148,True,0.3317071775406482,515,230,230,55.0,0.25,20,0
sector_downside_trend,Sector allocation,sector_downside,long_rule,"Monthly sectors above 200d MA, inverse 126d downside deviation, 25% cap; residual SHY.",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0999716173753286,0.097636239947511,0.128995385954895,0.6441837285317951,-0.219678194748596,0.0676853253947657,0.4550821144981554,-0.020618826355646,-0.1365162321017569,0.3195751304762784,0.1480404409095351,4.24961350842926,0.0480490584728849,0.135975695114445,-0.0221221604591534,0.3977498345466578,0.0155772571498811,0.5524225575853853,"{""XLB"": 0.1179811881912434, ""XLE"": 0.06355981665380876, ""XLF"": 0.09650049091789772, ""XLK"": 0.131102886459558, ""XLP"": 0.17032767034439794, ""XLU"": 0.12834751159155425, ""XLV"": 0.16931980354719808, ""XLY"": 0.12286063229434172}",-0.1374634727292567,-0.1878665289918175,-0.1030258979239949,-0.1473279884537236,-0.1037340814805326,-0.1074390682385314,-0.1268896544807537,-0.1278700928480087,0.8368766909760633,True,0.2061712958522111,519,256,256,26.0,0.3684210526315789,19,0
cross_asset_mom_126_top3,Cross-asset tactical,tactical_momentum,long_rule,Monthly top-3 126d cross-asset momentum with 12m SHY hurdle.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1020791899631805,0.098922813287203,0.1260317686429465,0.692352002151516,-0.2214995010619955,0.0737717448535888,0.4608551688548029,-0.0191075325557379,-0.1210602921826989,0.2919975646840624,0.1552458360894262,5.73424207429312,0.1308734157381066,0.0833079439115034,0.0030121250086625,0.3759099933818663,0.0039495077561595,0.3220810166799047,"{""DBC"": 0.33115927083914554, ""SPY"": 0.32558091644414416, ""VNQ"": 0.3432598127167104}",0.1474120031835875,-0.1643371016791468,0.0722193630290615,-0.0474095126064391,-0.2005830572251659,-0.2043674587203366,-0.067297774189752,-0.1206223428209083,0.8791151591548012,True,0.2056451764518853,727,499,499,47.0,0.21428571428571427,14,0
SPY_trend_150d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 150d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0916373046328731,0.0874211149724419,0.1202399225654739,0.6255647432298803,-0.2089469365762324,0.0795725627234342,0.4385673517612931,-0.019938079745735,-0.1142757052669661,0.3230772717957035,0.1472563091893006,7.735607970438928,0.0390791485479968,0.1281120988040693,-0.0012984080418472,0.3636664460622104,0.0125235568510295,0.2180301826846703,"{""SPY"": 1.0}",-0.1041015536133921,-0.1543168855412116,-0.0405455151734246,-0.0440534260511678,-0.1016075087190658,-0.1108349507179995,-0.0720702783824031,-0.1243718931097145,0.8182571816929167,True,0.1676627156601718,540,381,381,49.0,0.23529411764705882,17,0
SPY_trend_100d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 100d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0904721578032923,0.0856808235415285,0.1182270638848995,0.6253317440405888,-0.2324282128387561,0.0840617435560092,0.3892477453503294,-0.0195264708063993,-0.1571225078365419,0.3470398620477972,0.1436988297246473,8.802588380154642,0.0687624218476534,0.1051766884773042,-0.0233702173645743,0.4473858371939113,0.0083348529317819,0.3530579825258141,"{""SPY"": 1.0}",-0.1401738877316962,-0.1855979151729735,-0.0405455151734244,-0.0440534260511676,-0.0469723486708779,-0.067048243326133,-0.0720702783824029,-0.1243718931097144,0.8182132528424875,True,0.0945928010303021,607,408,408,72.0,0.25,16,0
SPY_trend_250d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 250d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0905854315864016,0.0881142769680471,0.1243273497947243,0.600697920127994,-0.2444819660483079,0.0901766484064839,0.3705198917146411,-0.0207036922072458,-0.1696852023493589,0.3230772717957051,0.1346913113337394,4.534666741291786,0.031629874542925,0.1317122521101403,-0.0251929745538259,0.2703507610853739,-0.0049497956142779,0.2188244638602065,"{""SPY"": 1.0}",-0.0538625518524583,-0.1118863441576143,-0.1655039000039602,-0.1668412862817649,-0.1622834158056828,-0.1691714419712807,-0.0720702783824028,-0.1243718931097144,0.7915436702288425,True,0.0561463013348709,761,400,400,35.0,0.3333333333333333,15,0
ETF_SWAN,Live protection ETF,protection_live,short_live_product,"Buy-and-hold live ETF SWAN, evaluated only from its actual inception through 2021.",ETF-only,2018-11-06,2021-12-31,3.1507936507936507,0.1448860047912261,0.1447078292272627,0.1337026699571825,0.9143411480213652,-0.1278241123728329,0.0241509025864947,1.1334794515813076,-0.0170819754800782,-0.0227628770134702,0.2203451172389703,0.3875144111360294,0.0,,0.1448860047912261,0.1410408095319086,1.0,,,"{""SWAN"": 1.0}",,,,,,,-0.0777887116106064,-0.1278241123728329,,False,0.9596688159283512,82,57,57,36.0,0.2,5,0
ETF_KMLM,Live alternative/trend ETF,managed_futures_live,short_live_product,"Buy-and-hold live ETF KMLM, evaluated only from its actual inception through 2021.",ETF-only,2020-12-02,2021-12-31,1.0833333333333333,0.1173186719811083,0.1168095201456491,0.1488556219345951,0.8483236746996923,-0.0910615198767507,0.0431951451263516,1.288345199376158,-0.0215197280440157,0.0535253115169378,0.0704018153889107,0.5950203242811095,0.0,,0.1173186719811083,,,,,"{""KMLM"": 1.0}",,,,,,,,,,False,0.8999156307593379,162,116,116,68.5,0.0,2,1
credit_canary_equity_allocation,Macro-conditioned allocation,credit_regime,long_rule,Weekly SPY/QQQ only when HYG/IEF and SPY trends are positive; otherwise IEF/GLD/SHY.,ETF-only,2008-01-28,2021-12-31,13.924603174603174,0.1151336225210772,0.1110433228103491,0.1110578380218038,0.9201217961300427,-0.12900122109732,0.0444644759964748,0.8925002534217806,-0.0173271470292565,-0.0187921231749357,0.3340674206794429,0.2003513944121398,7.345968322098944,0.0874899345819648,0.1305753259131366,0.0243527149610029,0.6535947712418301,0.0763184947272836,0.7044444444444444,"{""QQQ"": 0.24827508929830366, ""SPY"": 0.7517249107016963}",,,0.010416031606893,-0.039344180091995,-0.102838422001976,-0.1277377643547024,-0.0342614696650362,-0.0720333600598459,0.9745328264387896,False,0.7096137096295756,453,295,295,28.0,0.375,16,0
