strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,tier,original_gate,relaxed_5pct_gate,avoided_5pct_drawdown,hard_20d_recovery,median_recovery_20d,majority_recovery_20d,original_joint,relaxed_joint
credit__s50__credit_canary_equity_allocation__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.0664903374903203,0.06636092319072229,0.0529879513008555,0.9677551173249059,-0.04917361864919001,0.016880523228271084,1.3521546576563677,-0.008313310384217298,-0.019722298013361228,0.15802707591567455,345,345,137,0,,,0,0,0.17714953210419568,0.24265935980017525,0.054298393236671405,0.07320525537375344,0.03327751585372041,0.002183406113537118,0.04069225355126305,0.0,"{""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.25, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.25}",,,-0.0042549150126254265,-0.015108883243200144,-0.04046199169618381,-0.04760786541987161,-0.03745869382995748,-0.04367577163706604,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06018388270511932,0.06005901310790507,0.0450033063627859,0.9980478369593799,-0.04792498987150828,0.014929986131314098,1.2557933317561123,-0.006966928990598046,-0.01108844112889118,0.13657765712364722,246,246,137,0,,,0,0,0.17140421234990644,0.2355362359691938,0.047206486130670244,0.06733592122368903,0.03263548570449881,0.0,0.03985433567589891,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,-0.008227793689808527,-0.029284602571188922,-0.04648633376418854,-0.04704325394216935,-0.036691422108157346,-0.0466319038555667,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.0600119790658169,0.05988986962364273,0.04302599632861116,1.0650795177026011,-0.049682289816301184,0.013242186536655607,1.207914918730788,-0.006553843770862471,-0.01668200144502552,0.10221463141786713,335,335,137,0,,,0,0,0.13031869709523153,0.23036451388214063,0.053310694677187964,0.06368815465285715,0.03348732495217277,0.0,0.03883260233925623,0.0,"{""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.16666666666666666, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.16666666666666666, ""retail_all_weather_fixed"": 0.16666666666666666}",,,0.010399911338411894,-0.010921598492407814,-0.03227922432288266,-0.037718098935952016,-0.030024130725758713,-0.04337113350754174,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05969171177700017,0.05956770780099596,0.04348701487807128,1.0272307080300238,-0.04494287555478571,0.013476611405934475,1.3281685036872086,-0.006722177756221428,-0.008489873862704944,0.12247139952646813,242,242,134,0,,,0,0,0.1599337882843701,0.23401319971679702,0.049848879309647876,0.06510375609973074,0.03345817295591802,0.0,0.040779847213841425,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.125, ""credit_canary_equity_allocation"": 0.125, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.125}",,,-0.00018692503167772045,-0.020343911491877087,-0.04341312425409294,-0.04387844389339335,-0.03259900802475846,-0.0449428755547856,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_trend_150d__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_trend_150d', 'retail_all_weather_fixed'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05884849953242144,0.05872343462339402,0.04394724138731369,1.005824933461452,-0.04979916214195146,0.014509840899754772,1.1817166595027249,-0.006762438534530304,-0.011202974602280591,0.1141071487018166,245,245,127,0,,,0,0,0.14963096711510482,0.2361950217993983,0.04653144951074761,0.06563338509753414,0.028751404017027804,0.0,0.036728246709829326,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""SPY_trend_150d"": 0.125, ""credit_canary_equity_allocation"": 0.125, ""retail_all_weather_fixed"": 0.125}",,,-0.0023554965040289977,-0.018549303739262557,-0.043526848635372484,-0.047489038806570516,-0.0334334143187307,-0.049799162141951125,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05880945641027435,0.058689765080885525,0.04366985876672484,1.015072074378295,-0.04567775660786788,0.014130943293994058,1.2874856555486915,-0.006729565372265478,-0.01930383036576766,0.13195546783642165,301,301,138,0,,,0,0,0.17145520049388163,0.22605988774782806,0.04793992114236767,0.06479058757799705,0.030006895124706334,0.0,0.03562599681481138,0.0,"{""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.125, ""credit_canary_equity_allocation"": 0.125, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.125, ""sector_low_ulcer_positive_trend"": 0.125}",,,-0.0006458544216184636,-0.02346813146994442,-0.04136044491403712,-0.041925514107731154,-0.02446789809210126,-0.035734445703572315,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05805272644342763,0.05793492995535532,0.041404829661209494,1.0752674904496213,-0.0458311895183493,0.013066910686101135,1.2666641877183926,-0.006183122625990341,-0.011103809851442992,0.11373652050283223,279,279,126,0,,,0,0,0.15420284212985486,0.22263273908142153,0.0475720205242669,0.06381827785467387,0.03183127703115174,0.0,0.038120818780436716,0.0,"{""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.16666666666666666, ""retail_all_weather_fixed"": 0.16666666666666666, ""sector_low_ulcer_positive_trend"": 0.16666666666666666}",,,0.0023736126578368655,-0.02245310105116638,-0.040130705944794176,-0.041042678162185986,-0.02499458374062269,-0.042846547476332875,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05766332401761587,0.057546829744317574,0.042162231729265615,1.0429991400993213,-0.04031187311338891,0.012846122859710441,1.4304302818036,-0.006507360298591944,-0.018715318433149553,0.11175653141722708,355,355,138,0,,,0,0,0.15479911289929593,0.22025919796260385,0.051691718475711745,0.06093749361169776,0.030113961111323917,0.0,0.03515478653604087,0.0,"{""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.16666666666666666, ""credit_canary_equity_allocation"": 0.16666666666666666, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.16666666666666666}",,,0.012687998895319241,-0.010055593101254479,-0.03555703722267822,-0.03657736064501427,-0.014847473049963256,-0.03193557123116164,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__all_weather_sleeve_trend_200__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'all_weather_sleeve_trend_200', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05749602647645213,0.057373750834978754,0.04167260082058993,1.0069225095422474,-0.04505910219531939,0.013967189084853096,1.276013583830897,-0.006361459765008917,-0.010185611068327716,0.11700227972676802,244,244,134,0,,,0,0,0.1551338020170203,0.23122665312533935,0.04513619255668133,0.06430477407096036,0.02954561784015608,0.0,0.03776000808519253,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1}",,,-0.011284167251567445,-0.02269731524422236,-0.0390507616793373,-0.0395930411466191,-0.035205998908598324,-0.044271643522236226,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__retail_all_weather_fixed__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'retail_all_weather_fixed', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.057133084083525354,0.057014041411357574,0.0397214437854381,1.07839576450033,-0.04547180689392605,0.01216986345130645,1.256450710586497,-0.006015399776153363,-0.008883048253757964,0.09643271932200759,280,280,135,0,,,0,0,0.13254261456812352,0.22519305106257134,0.050097497694445714,0.060993651212373434,0.03366479967078195,0.0,0.03861669899439324,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""retail_all_weather_fixed"": 0.1}",,,0.007767517137533764,-0.016264635299314323,-0.03795636952217074,-0.03862715405960693,-0.029132516433145628,-0.04547180689392638,credit_2008_2021,False,True,True,False,False,False,False,True
