strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,deflated_sharpe_probability,target_gate,selection_score
sector_low_ulcer_positive_trend,Sector allocation,sector_ulcer,long_rule,Monthly four lowest 252d-Ulcer sectors with positive return and 200d trend; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10192397044555568,0.09949528521489293,0.12494271877921148,0.6761822233013124,-0.163746592025946,0.06481646591769961,0.622449415187863,-0.019762993939754548,-0.1048933252467591,0.4179358218880411,573,0.19476055340318624,4.411431073098002,0.04455141276546981,0.141876615368421,-0.03415903079873939,0.4913964262078094,0.01615964526587521,0.6600476568705321,"{""XLF"": 0.24340753298020237, ""XLK"": 0.2437796770085743, ""XLP"": 0.2584768131787582, ""XLV"": 0.254335976832465}",-0.12089913959700582,-0.159621184008506,-0.08263287493782712,-0.1338822440890327,-0.12812752606292666,-0.13107714771650358,-0.12275416469117306,-0.12380469679731743,0.8651534035871128,True,0.39791589259432925
QQQ_vol_target_12,Equity P&L control,pnl_vol,long_rule,Weekly unlevered QQQ 63d volatility target 12%; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.1136297147147527,0.11212663097833042,0.1290330020441577,0.7347162942356299,-0.21718698362133437,0.06364006060085035,0.5231884195825758,-0.02012785228284321,-0.15541188942464124,0.32725921837976624,515,0.15441318388683828,2.70112321239532,0.07054572138016169,0.14328487832804626,0.017660784542115726,0.6965585704831238,0.0436472838060602,0.7525814138204925,"{""QQQ"": 0.6221740163187963, ""SHY"": 0.3778259836812038}",-0.19966997918808949,-0.21718698362133415,-0.07968463251782465,-0.10729509036966944,-0.14151026868493433,-0.14296783609101205,-0.18314564680924272,-0.19408568626889022,0.9073852548840149,True,0.33170717754064827
sector_downside_trend,Sector allocation,sector_downside,long_rule,"Monthly sectors above 200d MA, inverse 126d downside deviation, 25% cap; residual SHY.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09997161737532867,0.09763623994751103,0.128995385954895,0.6441837285317951,-0.21967819474859607,0.06768532539476574,0.4550821144981554,-0.020618826355646002,-0.1365162321017569,0.3195751304762784,519,0.14804044090953514,4.24961350842926,0.04804905847288499,0.13597569511444507,-0.022122160459153495,0.39774983454665785,0.015577257149881119,0.5524225575853853,"{""XLB"": 0.1179811881912434, ""XLE"": 0.06355981665380876, ""XLF"": 0.09650049091789772, ""XLK"": 0.131102886459558, ""XLP"": 0.17032767034439794, ""XLU"": 0.12834751159155425, ""XLV"": 0.16931980354719808, ""XLY"": 0.12286063229434172}",-0.13746347272925674,-0.18786652899181755,-0.10302589792399497,-0.14732798845372364,-0.10373408148053265,-0.10743906823853144,-0.12688965448075373,-0.12787009284800877,0.8368766909760633,True,0.20617129585221117
cross_asset_mom_126_top3,Cross-asset tactical,tactical_momentum,long_rule,Monthly top-3 126d cross-asset momentum with 12m SHY hurdle.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10207918996318055,0.09892281328720309,0.12603176864294655,0.692352002151516,-0.22149950106199556,0.07377174485358884,0.4608551688548029,-0.019107532555737963,-0.12106029218269898,0.29199756468406246,727,0.15524583608942624,5.73424207429312,0.13087341573810662,0.08330794391150342,0.0030121250086625473,0.3759099933818663,0.003949507756159543,0.3220810166799047,"{""DBC"": 0.33115927083914554, ""SPY"": 0.32558091644414416, ""VNQ"": 0.3432598127167104}",0.1474120031835875,-0.16433710167914684,0.07221936302906151,-0.04740951260643911,-0.2005830572251659,-0.20436745872033668,-0.06729777418975202,-0.12062234282090833,0.8791151591548012,True,0.20564517645188532
SPY_trend_150d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 150d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09163730463287312,0.08742111497244198,0.12023992256547393,0.6255647432298803,-0.20894693657623242,0.07957256272343427,0.4385673517612931,-0.019938079745735006,-0.11427570526696618,0.32307727179570356,540,0.1472563091893006,7.735607970438928,0.03907914854799688,0.12811209880406937,-0.001298408041847221,0.36366644606221044,0.012523556851029571,0.21803018268467037,"{""SPY"": 1.0}",-0.10410155361339213,-0.1543168855412116,-0.04054551517342464,-0.0440534260511678,-0.10160750871906588,-0.11083495071799954,-0.0720702783824031,-0.12437189310971453,0.8182571816929167,True,0.1676627156601718
SPY_trend_100d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 100d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09047215780329232,0.0856808235415285,0.11822706388489956,0.6253317440405888,-0.23242821283875614,0.08406174355600922,0.3892477453503294,-0.019526470806399368,-0.1571225078365419,0.34703986204779724,607,0.1436988297246473,8.802588380154642,0.06876242184765347,0.10517668847730421,-0.02337021736457434,0.44738583719391134,0.008334852931781933,0.35305798252581416,"{""SPY"": 1.0}",-0.14017388773169626,-0.18559791517297353,-0.04054551517342442,-0.04405342605116769,-0.04697234867087796,-0.06704824332613302,-0.07207027838240299,-0.12437189310971442,0.8182132528424875,True,0.09459280103030213
SPY_trend_250d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 250d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09058543158640164,0.08811427696804719,0.1243273497947243,0.600697920127994,-0.24448196604830796,0.09017664840648398,0.37051989171464117,-0.020703692207245834,-0.1696852023493589,0.3230772717957051,761,0.13469131133373943,4.534666741291786,0.031629874542925096,0.13171225211014037,-0.025192974553825964,0.2703507610853739,-0.004949795614277996,0.21882446386020651,"{""SPY"": 1.0}",-0.05386255185245836,-0.11188634415761434,-0.1655039000039602,-0.16684128628176498,-0.16228341580568284,-0.16917144197128076,-0.07207027838240287,-0.12437189310971442,0.7915436702288425,True,0.056146301334870974
ETF_SWAN,Live protection ETF,protection_live,short_live_product,"Buy-and-hold live ETF SWAN, evaluated only from its actual inception through 2021.",ETF-only,2018-11-06,2021-12-31,3.1507936507936507,0.14488600479122615,0.14470782922726277,0.13370266995718255,0.9143411480213653,-0.12782411237283298,0.024150902586494785,1.1334794515813076,-0.01708197548007829,-0.02276287701347024,0.22034511723897032,82,0.3875144111360294,0.0,,0.14488600479122615,0.14104080953190867,1.0,,,"{""SWAN"": 1.0}",,,,,,,-0.07778871161060641,-0.12782411237283298,,False,0.9596688159283511
ETF_KMLM,Live alternative/trend ETF,managed_futures_live,short_live_product,"Buy-and-hold live ETF KMLM, evaluated only from its actual inception through 2021.",ETF-only,2020-12-02,2021-12-31,1.0833333333333333,0.11731867198110835,0.11680952014564916,0.14885562193459517,0.8483236746996923,-0.09106151987675071,0.04319514512635169,1.2883451993761579,-0.021519728044015734,0.053525311516937846,0.07040181538891077,162,0.5950203242811095,0.0,,0.11731867198110835,,,,,"{""KMLM"": 1.0}",,,,,,,,,,False,0.8999156307593379
credit_canary_equity_allocation,Macro-conditioned allocation,credit_regime,long_rule,Weekly SPY/QQQ only when HYG/IEF and SPY trends are positive; otherwise IEF/GLD/SHY.,ETF-only,2008-01-28,2021-12-31,13.924603174603174,0.11513362252107728,0.11104332281034912,0.11105783802180387,0.9201217961300429,-0.12900122109732004,0.044464475996474837,0.8925002534217806,-0.017327147029256543,-0.018792123174935726,0.33406742067944295,453,0.20035139441213987,7.345968322098944,0.08748993458196486,0.1305753259131366,0.024352714961002997,0.6535947712418301,0.07631849472728369,0.7044444444444444,"{""QQQ"": 0.24827508929830366, ""SPY"": 0.7517249107016963}",,,0.010416031606893084,-0.03934418009199503,-0.10283842200197602,-0.1277377643547024,-0.03426146966503629,-0.07203336005984595,0.9745328264387897,False,0.7096137096295756
